FROTO.IS,Ford Otomotiv Sanayi A.S.
ENKAI.IS,Enka Insaat ve Sanayi A.S.
KCHOL.IS,Koc Holding A.S.
EREGL.IS,Eregli Demir ve celik Fabrikalari T.A.S.
ISDMR.IS,Iskenderun Demir ve celik A.S.
GARAN.IS,Turkiye Garanti Bankasi A.S.
BIMAS.IS,BIM Birlesik Magazalar A.S.
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi
TUPRS.IS,Turkiye Petrol Rafinerileri A.S.
TCELL.IS,Turkcell Iletisim Hizmetleri A.S.
SASA.IS,Sasa Polyester Sanayi A.S.
AKBNK.IS,Akbank T.A.S.
TOASO.IS,Tofas Turk Otomobil Fabrikasi A.S.
TTKOM.IS,Turk Telekomunikasyon Anonim Sirketi
SISE.IS,Turkiye Sise Ve Cam Fabrikalari A.S.
ISCTR.IS,Turkiye Is Bankasi A.S.
YKBNK.IS,Yapi ve Kredi Bankasi A.S.
SAHOL.IS,Haci omer Sabanci Holding A.S.
ARCLK.IS,Arcelik Anonim Sirketi
THYAO.IS,Turk Hava Yollari Anonim Ortakligi
CCOLA.IS,Coca-Cola Icecek Anonim Sirketi
GUBRF.IS,Gubre Fabrikalari Turk Anonim Sirketi
PETKM.IS,Petkim Petrokimya Holding A.S.
KOZAL.IS,Koza Altin Isletmeleri A.S.
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi
VAKBN.IS,Turkiye Vakiflar Bankasi Turk Anonim Ortakligi
ENJSA.IS,Enerjisa Enerji A.S.
HALKB.IS,Turkiye Halk Bankasi A.S.
HEKTS.IS,Hektas Ticaret T.A.S.
VESBE.IS,Vestel Beyaz Esya Sanayi ve Ticaret A.S.
TAVHL.IS,TAV Havalimanlari Holding A.S.
PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.
TTRAK.IS,Turk Traktor ve Ziraat Makineleri A.S.
VESTL.IS,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi
DOAS.IS,Dogus Otomotiv Servis ve Ticaret A.S.
AKSEN.IS,Aksa Enerji uretim A.S.
PENTA.IS,Penta Teknoloji Urunleri Dagitim Ticaret A.S.
SOKM.IS,Sok Marketler Ticaret A.S.
OTKAR.IS,Otokar Otomotiv ve Savunma Sanayi A.S.
OYAKC.IS,OYAK cimento Fabrikalari A.S.
KRDMB.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
KRDMA.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
PRKAB.IS,Turk Prysmian Kablo ve Sistemleri Anonim Sirketi
KRDMD.IS,Kardemir Karabuk Demir celik Sanayi Ve Ticaret A.S.
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.
AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.
AGHOL.IS,AG Anadolu Grubu Holding A.S.
DOHOL.IS,Dogan Sirketler Grubu Holding A.S.
BRISA.IS,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S.
MGROS.IS,Migros Ticaret A.S.
KOZAA.IS,Koza Anadolu Metal Madencilik Isletmeleri A.S.
ULKER.IS,ulker Biskuvi Sanayi A.S.
ISMEN.IS,Is Yatirim Menkul Degerler Anonim Sirketi
AYGAZ.IS,Aygaz A.S.
TKFEN.IS,Tekfen Holding Anonim Sirketi
NUHCM.IS,Nuh cimento Sanayi A.S.
MPARK.IS,MLP Saglik Hizmetleri A.S.
SELEC.IS,Selcuk Ecza Deposu Ticaret ve Sanayi A.S.
TURSG.IS,Turkiye Sigorta Anonim Sirketi
KORDS.IS,Kordsa Teknik Tekstil A.S.
JANTS.IS,Jantsa Jant Sanayi ve Ticaret A.S.
AKFGY.IS,Akfen Gayrimenkul Yatirim Ortakligi A.S.
CRFSA.IS,CarrefourSA Carrefour Sabanci Ticaret Merkezi A.S.
SARKY.IS,Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.
DEVA.IS,Deva Holding A.S.
ICBCT.IS,ICBC Turkey Bank A.S.
AYDEM.IS,Aydem Yenilenebilir Enerji A.S.
ALARK.IS,Alarko Holding A.S.
CLEBI.IS,celebi Hava Servisi A.S.
TSKB.IS,Turkiye Sinai Kalkinma Bankasi A.S.
ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirketi
ECILC.IS,EIS Eczacibasi Ilac, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.
ZOREN.IS,Zorlu Enerji Elektrik uretim A.S.
ECZYT.IS,Eczacibasi Yatirim Holding Ortakligi A.S.
LOGO.IS,Logo Yazilim Sanayi ve Ticaret A.S.
KARTN.IS,Kartonsan Karton Sanayi ve Ticaret A.S.
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.
CIMSA.IS,cimsa cimento Sanayi ve Ticaret A.S.
TRGYO.IS,Torunlar Gayrimenkul Yatirim Ortakligi A.S.
AGESA.IS,Agesa Hayat ve Emeklilik A.S.
CANTE.IS,can2 Termik A.S.
SNGYO.IS,Sinpas Gayrimenkul Yatirim Ortakligi A.S.
BRSAN.IS,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.
NUGYO.IS,Nurol Gayrimenkul Yatirim Ortakligi A.S.
SRVGY.IS,Servet Gayrimenkul Yatirim Ortakligi A.S.
IPEKE.IS,Ipek Dogal Enerji Kaynaklari Arastirma ve uretim A.S.
TSPOR.IS,Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret A.S.
BERA.IS,Bera Holding A.S.
IZMDC.IS,Izmir Demir celik Sanayi Anonim Sirketi
VERUS.IS,Verusa Holding A.S.
KARSN.IS,Karsan Otomotiv Sanayii ve Ticaret A.S.
KUTPO.IS,Kutahya Porselen Sanayi Anonim Sirketi
AKCNS.IS,Akcansa cimento Sanayi ve Ticaret Anonim Sirketi
ANSGR.IS,Anadolu Anonim Turk Sigorta Sirketi
DGGYO.IS,Dogus Gayrimenkul Yatirim Ortakligi A.S.
FENER.IS,Fenerbahce Futbol A.S.
GOZDE.IS,Gozde Girisim Sermayesi Yatirim Ortakligi A.S.
KONTR.IS,Kontrolmatik Teknoloji Enerji Ve Muhendislik Anonim Sirketi
HLGYO.IS,Halk Gayrimenkul Yatirim Ortakligi A.S
QUAGR.IS,QUA Granite Hayal Yapi ve urunleri Sanayi Ticaret A.S.
ALBRK.IS,Albaraka Turk Katilim Bankasi A.S.
KERVT.IS,Kerevitas Gida Sanayi ve Ticaret A.S.
ALKIM.IS,Alkim Alkali Kimya A.S.
EGPRO.IS,Ege Profil Ticaret ve Sanayi Anonim Sirketi
ERBOS.IS,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.
BTCIM.IS,Baticim Bati Anadolu cimento Sanayii Anonim Sirketi
PARSN.IS,Parsan Makina Parcalari Sanayii A.S.
AKGRT.IS,Aksigorta A.S.
GOODY.IS,Goodyear Lastikleri T.A.S.
ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi Anonim Sirketi
ISFIN.IS,Is Finansal Kiralama Anonim Sirketi
DOBUR.IS,Dogan Burda Dergi Yayincilik Ve Pazarlama A.S.
ANGEN.IS,Anatolia Tani ve Biyoteknoloji urunleri Arastirma Gelistirme Sanayi ve Ticaret Anonim Sirketi
GSRAY.IS,Galatasaray Sportif Sinai ve Ticari Yatirimlar A.S.
ODAS.IS,Odas Elektrik uretim Sanayi Ticaret A.S.
SKBNK.IS,Sekerbank T.A.S.
POLHO.IS,Polisan Holding A.S.
BUCIM.IS,Bursa Cimento Fabrikasi A.S.
TUKAS.IS,Tukas Gida Sanayi ve Ticaret A.S.
YATAS.IS,Yatas Yatak ve Yorgan Sanayi ve Ticaret A.S.
TMSN.IS,Tumosan Motor ve Traktor Sanayi A.S.
ATATP.IS,ATP Ticari Bilgisayar Agi ve Elektrik Guc Kaynaklari Uretim Pazarlama ve Ticaret A.S.
PAMEL.IS,Pamukova Yenilenebilir Elektrik Uretim A.S.
GLCVY.IS,Gelecek Varlik Yonetimi Anonim Sirketi
OZKGY.IS,Ozak Gayrimenkul Yatirim Ortakligi A.S.
KAREL.IS,Karel Elektronik Sanayi Ve Ticaret A.S.
TSGYO.IS,TSKB Gayrimenkul Yatirim Ortakligi A.S
EGGUB.IS,Ege Gubre Sanayi A.S.
KLKIM.IS,Kalekim Kimyevi Maddeler Sanayi Ve Ticaret Anonim Sirketi
GEDIK.IS,Gedik Yatirim Menkul Degerler A.S.
OLMK.IS,Olmuksan International Paper Ambalaj Sanayi ve Ticaret A.S.
TIRE.IS,Mondi Tire Kutsan Kagit ve Ambalaj Sanayi A.S.
VKGYO.IS,Vakif Gayrimenkul Yatirim Ortakligi AS
NTHOL.IS,Net Holding A.S.
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S.
VAKKO.IS,Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri A.S.
BOSSA.IS,Bossa Ticaret ve Sanayi Isletmeleri T.A.S.
AYEN.IS,Ayen Enerji A.S.
VAKFN.IS,Vakif Finansal Kiralama A.S.
FMIZP.IS,Federal-Mogul Izmit Piston Ve Pim uretim Tesisleri A.S.
DARDL.IS,Dardanel Onentas Gida Sanayi A.S.
CEMTS.IS,cemtas celik Makina Sanayi ve Ticaret A.S.
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.
AFYON.IS,Afyon cimento Sanayi Turk Anonim Sirketi
INDES.IS,Indeks Bilgisayar Sistemleri Muhendislik Sanayi ve Ticaret Anonim Sirketi
ALGYO.IS,Alarko Gayrimenkul Yatirim Ortakligi A.S.
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.
TATGD.IS,Tat Gida Sanayi A.S.
BJKAS.IS,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.
HURGZ.IS,Hurriyet Gazetecilik ve Matbaacilik A.S.
AKENR.IS,Akenerji Elektrik uretim A.S.
KLGYO.IS,Kiler Gayrimenkul Yatirim Ortakligi A.S.
VERTU.IS,Verusaturk Girisim Sermayesi Yatirim Ortakligi A.S.
GLYHO.IS,Global Yatirim Holding A.S.
TKNSA.IS,Teknosa Ic ve Dis Ticaret Anonim Sirketi
RYSAS.IS,Reysas Tasimacilik ve Lojistik Ticaret A.S.
ARDYZ.IS,ARD Grup Bilisim Teknolojileri Anonim Sirketi
MEDTR.IS,Meditera Tibbi Malzeme Sanayi ve Ticaret Anonim Sirketi
BLCYT.IS,Bilici Yatirim Sanayi ve Ticaret A.S.
NATEN.IS,Naturel Yenilenebilir Enerji Ticaret A.S.
NETAS.IS,Netas Telekomunikasyon A.S.
HEDEF.IS,Hedef Holding A.S
GSDHO.IS,GSD Holding A.S.
BAGFS.IS,Bagfas Bandirma Gubre Fabrikalari A.S.
EGSER.IS,Ege Seramik Sanayi ve Ticaret A.S.
BRLSM.IS,Birlesim Muhendislik Isitma Sogutma Havalandirma Sanayi ve Ticaret Anonim Sirketi
GARFA.IS,Garanti Faktoring A.S.
SANKO.IS,Sanko Pazarlama Ithalat Ihracat Anonim Sirketi
ULUUN.IS,Ulusoy Un Sanayi ve Ticaret A.S.
TRCAS.IS,Turcas Petrol A.S.
DYOBY.IS,DYO Boya Fabrikalari Sanayi ve Ticaret A.S.
ALCTL.IS,Alcatel Lucent Teletas Telekomunikasyon A.S.
KATMR.IS,Katmerciler Arac ustu Ekipman Sanayi ve Ticaret A.S.
BSOKE.IS,Batisoke Soke cimento Sanayii T.A.S.
ARENA.IS,Arena Bilgisayar Sanayi ve Ticaret A.S.
CEMAS.IS,cemas Dokum Sanayi A.S.
RTALB.IS,RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret A.S.
BEYAZ.IS,Beyaz Filo Oto Kiralama A.S.
OZBAL.IS,Ozbal Celik Boru Sanayi Ticaret ve Taahhut Anonim Sirketi
MIPAZ.IS,Milpa Ticari ve Sinai urunler Pazarlama Sanayi ve Ticaret A.S.
KLMSN.IS,Klimasan Klima Sanayi ve Ticaret A.S.
DGKLB.IS,Dogtas Kelebek Mobilya Sanayi ve Ticaret A.S.
BIZIM.IS,Bizim Toptan Satis Magazalari A.S.
HDFGS.IS,Hedef Girisim Sermayesi Yatirim Ortakligi A.S.
ARSAN.IS,Arsan Tekstil Ticaret ve Sanayi Anonim Sirketi
SEYKM.IS,Seyitler Kimya Sanayi A.S.
PETUN.IS,Pinar Entegre Et ve Un Sanayii A.S.
ATEKS.IS,Akin Tekstil Anonim Sirketi
ALKA.IS,Alkim Kagit Sanayi ve Ticaret AS
PRKME.IS,Park Elektrik uretim Madencilik Sanayi ve Ticaret A.S.
PNSUT.IS,Pinar Sut Mamulleri Sanayii A.S.
MERIT.IS,Merit Turizm Yatirim ve Isletme Anonim Sirketi
AGYO.IS,Atakule Gayrimenkul Yatirim Ortakligi A.S.
KAPLM.IS,Kaplamin Ambalaj Sanayi ve Ticaret A.S.
PENGD.IS,Penguen Gida Sanayi A.S.
INTEM.IS,Intema Insaat ve Tesisat Malzemeleri Yatirim ve Pazarlama A.S.
GOLTS.IS,Goltas Goller Bolgesi Cimento Sanayi ve Ticaret A.S.
DZGYO.IS,Deniz Gayrimenkul Yatirim Ortakligi A.S.
TLMAN.IS,Trabzon Liman Isletmeciligi Anonim Sirketi
YKSLN.IS,Yukselen Celik Anonim Sirketi
AKSUE.IS,Aksu Enerji ve Ticaret Anonim Sirketi
CUSAN.IS,Cuhadaroglu Metal Sanayi ve Pazarlama A.S.
