FROTO.IS,Ford Otomotiv Sanayi A.S.
ENKAI.IS,Enka Insaat ve Sanayi A.S.
KCHOL.IS,Koc Holding A.S.
EREGL.IS,Eregli Demir ve celik Fabrikalari T.A.S.
ISDMR.IS,Iskenderun Demir ve celik A.S.
GARAN.IS,Turkiye Garanti Bankasi A.S.
BIMAS.IS,BIM Birlesik Magazalar A.S.
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi
TUPRS.IS,Turkiye Petrol Rafinerileri A.S.
TCELL.IS,Turkcell Iletisim Hizmetleri A.S.
SASA.IS,Sasa Polyester Sanayi A.S.
AKBNK.IS,Akbank T.A.S.
TOASO.IS,Tofas Turk Otomobil Fabrikasi A.S.
TTKOM.IS,Turk Telekomunikasyon Anonim Sirketi
SISE.IS,Turkiye Sise Ve Cam Fabrikalari A.S.
ISCTR.IS,Turkiye Is Bankasi A.S.
YKBNK.IS,Yapi ve Kredi Bankasi A.S.
SAHOL.IS,Haci omer Sabanci Holding A.S.
ARCLK.IS,Arcelik Anonim Sirketi
THYAO.IS,Turk Hava Yollari Anonim Ortakligi
CCOLA.IS,Coca-Cola Icecek Anonim Sirketi
GUBRF.IS,Gubre Fabrikalari Turk Anonim Sirketi
PETKM.IS,Petkim Petrokimya Holding A.S.
KOZAL.IS,Koza Altin Isletmeleri A.S.
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi
VAKBN.IS,Turkiye Vakiflar Bankasi Turk Anonim Ortakligi
ENJSA.IS,Enerjisa Enerji A.S.
HALKB.IS,Turkiye Halk Bankasi A.S.
HEKTS.IS,Hektas Ticaret T.A.S.
VESBE.IS,Vestel Beyaz Esya Sanayi ve Ticaret A.S.
TAVHL.IS,TAV Havalimanlari Holding A.S.
PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.
TTRAK.IS,Turk Traktor ve Ziraat Makineleri A.S.
VESTL.IS,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi
