OYAYO.IS,Oyak Yatirim Ortakligi AS
PRZMA.IS,Prizma Pres Matbaacilik Yayincilik Sanayi ve Ticaret A.S.
SAMAT.IS,Saray Matbaacilik Kagitcilik kirtasiyecilik Ticaret Ve Sanayi A.S.
DERHL.IS,Derluks Yatirim Holding Anonim Sirketi
DAGHL.IS,Dagi Yatirim Holding A.S.
DOGUB.IS,Dogusan Boru Sanayi ve Ticaret A.S.
BRKSN.IS,Berkosan Yalitim Ve Tecrit Maddeleri uretim Ve Ticaret A.S.
IZFAS.IS,Izmir Firca Sanayi ve Ticaret Anonim Sirketi
AVTUR.IS,Avrasya Petrol ve Turistik Tesisler Yatirimlar Anonim Sirketi
IDGYO.IS,Idealist Gayrimenkul Yatirim Ortakligi A.S.
RHEAG.IS,Rhea Girisim Sermayesi Yatirim Ortakligi A.S.
RODRG.IS,Rodrigo Tekstil Sanayi ve Ticaret A.S.
ULAS.IS,Ulaslar Turizm Yatirimlari ve Dayanikli Tuketim Mallari Ticaret Pazarlama A.S.
ATAGY.IS,Ata Gayrimenkul Yatirim Ortakligi A.S.
GRNYO.IS,Garanti Yatirim Ortakligi A.S.
SANEL.IS,San-el Muhendislik Elektrik Taahhut Sanayi ve Ticaret A.S.
SELGD.IS,Selcuk Gida Endustri Ihracat Ithalat A.S.
MARKA.IS,Marka Yatirim Holding A.S.
ATLAS.IS,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.
EUKYO.IS,Euro Kapital Yatirim Ortakligi Anonim Sirketi
EUYO.IS,Euro Menkul Kiymet Yatirim Ortakligi Anonim Sirketi
MTRYO.IS,Metro Yatirim Ortakligi A.S.
ETYAT.IS,Euro Trend Yatirim Ortakligi A.S.
DIRIT.IS,Diriteks Dirilis Tekstil Sanayi ve Ticaret A.S.
MAGEN.IS,Margun Enerji uretim Sanayi ve Ticaret Anonim Sirketi
