CLEBI.IS,celebi Hava Servisi A.S.
TSKB.IS,Turkiye Sinai Kalkinma Bankasi A.S.
ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirketi
ECILC.IS,EIS Eczacibasi Ilac, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.
ZOREN.IS,Zorlu Enerji Elektrik uretim A.S.
ECZYT.IS,Eczacibasi Yatirim Holding Ortakligi A.S.
LOGO.IS,Logo Yazilim Sanayi ve Ticaret A.S.
KARTN.IS,Kartonsan Karton Sanayi ve Ticaret A.S.
MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.
CIMSA.IS,cimsa cimento Sanayi ve Ticaret A.S.
TRGYO.IS,Torunlar Gayrimenkul Yatirim Ortakligi A.S.
AGESA.IS,Agesa Hayat ve Emeklilik A.S.
CANTE.IS,can2 Termik A.S.
SNGYO.IS,Sinpas Gayrimenkul Yatirim Ortakligi A.S.
BRSAN.IS,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.
NUGYO.IS,Nurol Gayrimenkul Yatirim Ortakligi A.S.
SRVGY.IS,Servet Gayrimenkul Yatirim Ortakligi A.S.
IPEKE.IS,Ipek Dogal Enerji Kaynaklari Arastirma ve uretim A.S.
TSPOR.IS,Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret A.S.
BERA.IS,Bera Holding A.S.
IZMDC.IS,Izmir Demir celik Sanayi Anonim Sirketi
VERUS.IS,Verusa Holding A.S.
KARSN.IS,Karsan Otomotiv Sanayii ve Ticaret A.S.
KUTPO.IS,Kutahya Porselen Sanayi Anonim Sirketi
AKCNS.IS,Akcansa cimento Sanayi ve Ticaret Anonim Sirketi
ANSGR.IS,Anadolu Anonim Turk Sigorta Sirketi
DGGYO.IS,Dogus Gayrimenkul Yatirim Ortakligi A.S.
FENER.IS,Fenerbahce Futbol A.S.
GOZDE.IS,Gozde Girisim Sermayesi Yatirim Ortakligi A.S.
KONTR.IS,Kontrolmatik Teknoloji Enerji Ve Muhendislik Anonim Sirketi
HLGYO.IS,Halk Gayrimenkul Yatirim Ortakligi A.S
QUAGR.IS,QUA Granite Hayal Yapi ve urunleri Sanayi Ticaret A.S.
ALBRK.IS,Albaraka Turk Katilim Bankasi A.S.
KERVT.IS,Kerevitas Gida Sanayi ve Ticaret A.S.
