ALKIM.IS,Alkim Alkali Kimya A.S.
EGPRO.IS,Ege Profil Ticaret ve Sanayi Anonim Sirketi
ERBOS.IS,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.
BTCIM.IS,Baticim Bati Anadolu cimento Sanayii Anonim Sirketi
PARSN.IS,Parsan Makina Parcalari Sanayii A.S.
AKGRT.IS,Aksigorta A.S.
GOODY.IS,Goodyear Lastikleri T.A.S.
ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi Anonim Sirketi
ISFIN.IS,Is Finansal Kiralama Anonim Sirketi
DOBUR.IS,Dogan Burda Dergi Yayincilik Ve Pazarlama A.S.
ANGEN.IS,Anatolia Tani ve Biyoteknoloji urunleri Arastirma Gelistirme Sanayi ve Ticaret Anonim Sirketi
GSRAY.IS,Galatasaray Sportif Sinai ve Ticari Yatirimlar A.S.
ODAS.IS,Odas Elektrik uretim Sanayi Ticaret A.S.
SKBNK.IS,Sekerbank T.A.S.
POLHO.IS,Polisan Holding A.S.
BUCIM.IS,Bursa Cimento Fabrikasi A.S.
TUKAS.IS,Tukas Gida Sanayi ve Ticaret A.S.
YATAS.IS,Yatas Yatak ve Yorgan Sanayi ve Ticaret A.S.
TMSN.IS,Tumosan Motor ve Traktor Sanayi A.S.
ATATP.IS,ATP Ticari Bilgisayar Agi ve Elektrik Guc Kaynaklari Uretim Pazarlama ve Ticaret A.S.
PAMEL.IS,Pamukova Yenilenebilir Elektrik Uretim A.S.
GLCVY.IS,Gelecek Varlik Yonetimi Anonim Sirketi
OZKGY.IS,Ozak Gayrimenkul Yatirim Ortakligi A.S.
KAREL.IS,Karel Elektronik Sanayi Ve Ticaret A.S.
TSGYO.IS,TSKB Gayrimenkul Yatirim Ortakligi A.S
EGGUB.IS,Ege Gubre Sanayi A.S.
KLKIM.IS,Kalekim Kimyevi Maddeler Sanayi Ve Ticaret Anonim Sirketi
GEDIK.IS,Gedik Yatirim Menkul Degerler A.S.
OLMK.IS,Olmuksan International Paper Ambalaj Sanayi ve Ticaret A.S.
TIRE.IS,Mondi Tire Kutsan Kagit ve Ambalaj Sanayi A.S.
VKGYO.IS,Vakif Gayrimenkul Yatirim Ortakligi AS
NTHOL.IS,Net Holding A.S.
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S.
VAKKO.IS,Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri A.S.
BOSSA.IS,Bossa Ticaret ve Sanayi Isletmeleri T.A.S.
AYEN.IS,Ayen Enerji A.S.
VAKFN.IS,Vakif Finansal Kiralama A.S.
