OZBAL.IS,Ozbal Celik Boru Sanayi Ticaret ve Taahhut Anonim Sirketi
MIPAZ.IS,Milpa Ticari ve Sinai urunler Pazarlama Sanayi ve Ticaret A.S.
KLMSN.IS,Klimasan Klima Sanayi ve Ticaret A.S.
DGKLB.IS,Dogtas Kelebek Mobilya Sanayi ve Ticaret A.S.
BIZIM.IS,Bizim Toptan Satis Magazalari A.S.
HDFGS.IS,Hedef Girisim Sermayesi Yatirim Ortakligi A.S.
ARSAN.IS,Arsan Tekstil Ticaret ve Sanayi Anonim Sirketi
SEYKM.IS,Seyitler Kimya Sanayi A.S.
PETUN.IS,Pinar Entegre Et ve Un Sanayii A.S.
ATEKS.IS,Akin Tekstil Anonim Sirketi
ALKA.IS,Alkim Kagit Sanayi ve Ticaret AS
PRKME.IS,Park Elektrik uretim Madencilik Sanayi ve Ticaret A.S.
PNSUT.IS,Pinar Sut Mamulleri Sanayii A.S.
MERIT.IS,Merit Turizm Yatirim ve Isletme Anonim Sirketi
AGYO.IS,Atakule Gayrimenkul Yatirim Ortakligi A.S.
KAPLM.IS,Kaplamin Ambalaj Sanayi ve Ticaret A.S.
PENGD.IS,Penguen Gida Sanayi A.S.
INTEM.IS,Intema Insaat ve Tesisat Malzemeleri Yatirim ve Pazarlama A.S.
GOLTS.IS,Goltas Goller Bolgesi Cimento Sanayi ve Ticaret A.S.
DZGYO.IS,Deniz Gayrimenkul Yatirim Ortakligi A.S.
TLMAN.IS,Trabzon Liman Isletmeciligi Anonim Sirketi
YKSLN.IS,Yukselen Celik Anonim Sirketi
AKSUE.IS,Aksu Enerji ve Ticaret Anonim Sirketi
CUSAN.IS,Cuhadaroglu Metal Sanayi ve Pazarlama A.S.
GSDDE.IS,GSD Denizcilik Gayrimenkul Insaat Sanayi ve Ticaret A.S.
GENTS.IS,Gentas Dekoratif Yuzeyler Sanayi ve Ticaret A.S.
INFO.IS,Info Yatirim Menkul Degerler A.S.
MAKTK.IS,Makina Takim Endustrisi A.S.
BAKAB.IS,Bak Ambalaj Sanayi ve Ticaret A.S.
MSGYO.IS,Mistral Gayrimenkul Yatirim Ortakligi A.S.
PAGYO.IS,Panora Gayrimenkul Yatirim Ortakligi A.S.
FADE.IS,Fade Gida Yatirim Sanayi Ticaret Anonim Sirketi
SAYAS.IS,Say Yenilenebilir Enerji Ekipmanlari Sanayi ve Ticaret A.S.
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.
